"PIXEL_ID","REEF_ID","lon","lat","bleach_1998","bleach_2002","bleach_2016"
1,"11-195",143.24,-12,1,0,4
2,"12-003a",143.37,-12,1,0,4
3,"12-030",143.43,-12,1,0,4
4,"12-030",143.44,-12,1,0,4
5,"12-030",143.45,-12,1,0,4
6,"12-030",143.46,-12,1,0,4
7,"12-030",143.47,-12,1,0,3
8,"12-030",143.48,-12,1,0,3
9,"12-030",143.49,-12,1,0,3
10,"12-030",143.5,-12,1,0,3
11,"12-030",143.51,-12,1,0,3
12,"12-030",143.52,-12,1,0,3
13,"12-030",143.53,-12,1,0,3
14,"12-030",143.54,-12,1,0,3
15,"12-030",143.55,-12,1,0,3
16,"12-030",143.56,-12,1,0,3
17,"12-030",143.57,-12,1,0,3
18,"12-030",143.58,-12,1,0,3
19,"12-030",143.59,-12,1,0,3
20,"12-030",143.6,-12,1,0,3
21,"12-030",143.61,-12,1,0,3
22,"12-030",143.62,-12,1,0,3
23,"12-030",143.63,-12,1,0,3
24,"12-030",143.64,-12,1,0,3
25,"12-030",143.65,-12,1,0,3
26,"12-030",143.66,-12,1,0,3
27,"12-030",143.67,-12,1,0,3
28,"12-030",143.68,-12,1,0,2
29,"12-030",143.69,-12,1,0,2
30,"12-030",143.7,-12,1,0,2
31,"12-030",143.71,-12,1,0,2
32,"12-030",143.72,-12,1,0,2
33,"12-030",143.73,-12,1,0,2
34,"12-030",143.74,-12,1,0,2
35,"12-030",143.75,-12,1,0,2
36,"12-030",143.76,-12,1,0,2
37,"12-030",143.77,-12,1,0,2
38,"12-030",143.78,-12,1,0,2
39,"12-030",143.79,-12,1,0,2
40,"12-030",143.8,-12,1,0,2
41,"12-030",143.81,-12,1,0,2
42,"12-030",143.82,-12,0,0,2
43,"12-030",143.83,-12,0,0,2
44,"12-030",143.84,-12,0,0,2
45,"12-030",143.85,-12,0,0,2
46,"12-031",143.92,-12,0,0,3
47,"12-003a",143.35,-12.01,1,0,4
48,"12-003a",143.36,-12.01,1,0,4
