"PIXEL_ID","REEF_ID","REEF_NAME","LONG","LAT","COTS_1985","COTS_1986","COTS_1987","COTS_1988","COTS_1989","COTS_1990","COTS_1991","COTS_1992","COTS_1993","COTS_1994","COTS_1995","COTS_1996","COTS_1997","COTS_1998","COTS_1999","COTS_2000","COTS_2001","COTS_2002","COTS_2003","COTS_2004","COTS_2005","COTS_2006","COTS_2007","COTS_2008","COTS_2009","COTS_2010","COTS_2011","COTS_2012","COTS_2013","COTS_2014","COTS_2015","COTS_2016","COTS_2017"
1,"11-195","South Reef (11-195)",143.24,-12,0.0369,NA,NA,NA,0.0034,0.0441,0.1293,0.0135,0.0146,0.0016,0.1635,NA,NA,6e-04,NA,NA,0.0728,NA,0.0268,0.0869,0.0499,NA,NA,NA,NA,NA,NA,NA,0.4168,NA,NA,0.0282,NA
2,"12-003a","Mason Reef (12-003a)",143.37,-12,0.0359,NA,NA,NA,0.0034,0.0531,0.2038,0.0077,0.0214,0.0015,0.1015,NA,NA,6e-04,NA,NA,0.0416,NA,0.0201,0.05,0.0627,NA,NA,NA,NA,NA,NA,NA,0.5213,NA,NA,0.0243,NA
3,"12-030","U/N Reef (12-030)",143.43,-12,0.0325,NA,NA,NA,0.0034,0.059,0.2345,0.0049,0.0257,0.0014,0.0748,NA,NA,6e-04,NA,NA,0.0258,NA,0.0164,0.0313,0.0726,NA,NA,NA,NA,NA,NA,NA,0.5654,NA,NA,0.0229,NA
4,"12-030","U/N Reef (12-030)",143.44,-12,0.0325,NA,NA,NA,0.0034,0.0599,0.2371,0.0046,0.0264,0.0014,0.0722,NA,NA,6e-04,NA,NA,0.0242,NA,0.0158,0.0295,0.0743,NA,NA,NA,NA,NA,NA,NA,0.5672,NA,NA,0.0227,NA
5,"12-030","U/N Reef (12-030)",143.45,-12,0.0328,NA,NA,NA,0.0034,0.0608,0.2391,0.0044,0.0271,0.0013,0.0704,NA,NA,6e-04,NA,NA,0.0231,NA,0.0151,0.0281,0.0758,NA,NA,NA,NA,NA,NA,NA,0.5664,NA,NA,0.0225,NA
6,"12-030","U/N Reef (12-030)",143.46,-12,0.0336,NA,NA,NA,0.0034,0.0616,0.2403,0.0043,0.0277,0.0013,0.0694,NA,NA,6e-04,NA,NA,0.0223,NA,0.0145,0.0272,0.0773,NA,NA,NA,NA,NA,NA,NA,0.5624,NA,NA,0.0222,NA
7,"12-030","U/N Reef (12-030)",143.47,-12,0.0349,NA,NA,NA,0.0034,0.0625,0.241,0.0042,0.0284,0.0013,0.0693,NA,NA,6e-04,NA,NA,0.022,NA,0.0139,0.0268,0.0788,NA,NA,NA,NA,NA,NA,NA,0.5548,NA,NA,0.0219,NA
8,"12-030","U/N Reef (12-030)",143.48,-12,0.0367,NA,NA,NA,0.0034,0.0632,0.241,0.0043,0.029,0.0012,0.07,NA,NA,6e-04,NA,NA,0.0221,NA,0.0132,0.027,0.0801,NA,NA,NA,NA,NA,NA,NA,0.5433,NA,NA,0.0215,NA
9,"12-030","U/N Reef (12-030)",143.49,-12,0.039,NA,NA,NA,0.0034,0.064,0.2405,0.0044,0.0296,0.0012,0.0715,NA,NA,5e-04,NA,NA,0.0226,NA,0.0126,0.0276,0.0814,NA,NA,NA,NA,NA,NA,NA,0.5278,NA,NA,0.0211,NA
10,"12-030","U/N Reef (12-030)",143.5,-12,0.0418,NA,NA,NA,0.0034,0.0647,0.2394,0.0046,0.0301,0.0011,0.0739,NA,NA,5e-04,NA,NA,0.0236,NA,0.0119,0.0287,0.0826,NA,NA,NA,NA,NA,NA,NA,0.5083,NA,NA,0.0206,NA
11,"12-030","U/N Reef (12-030)",143.51,-12,0.0451,NA,NA,NA,0.0034,0.0653,0.2378,0.0048,0.0306,0.0011,0.077,NA,NA,5e-04,NA,NA,0.0248,NA,0.0113,0.0302,0.0836,NA,NA,NA,NA,NA,NA,NA,0.4851,NA,NA,0.02,NA
12,"12-030","U/N Reef (12-030)",143.52,-12,0.0488,NA,NA,NA,0.0034,0.0659,0.2357,0.0051,0.0311,0.001,0.0809,NA,NA,5e-04,NA,NA,0.0264,NA,0.0107,0.0321,0.0846,NA,NA,NA,NA,NA,NA,NA,0.4585,NA,NA,0.0193,NA
13,"12-030","U/N Reef (12-030)",143.53,-12,0.0528,NA,NA,NA,0.0034,0.0665,0.2331,0.0055,0.0315,0.001,0.0853,NA,NA,5e-04,NA,NA,0.0282,NA,0.0101,0.0343,0.0854,NA,NA,NA,NA,NA,NA,NA,0.4292,NA,NA,0.0185,NA
14,"12-030","U/N Reef (12-030)",143.54,-12,0.0571,NA,NA,NA,0.0034,0.067,0.2288,0.0059,0.0319,9e-04,0.0904,NA,NA,5e-04,NA,NA,0.0302,NA,0.0095,0.0367,0.0861,NA,NA,NA,NA,NA,NA,NA,0.3981,NA,NA,0.0177,NA
15,"12-030","U/N Reef (12-030)",143.55,-12,0.0615,NA,NA,NA,0.0034,0.0674,0.2251,0.0063,0.0322,9e-04,0.0959,NA,NA,4e-04,NA,NA,0.0325,NA,0.0089,0.0393,0.0866,NA,NA,NA,NA,NA,NA,NA,0.3661,NA,NA,0.0167,NA
16,"12-030","U/N Reef (12-030)",143.56,-12,0.0662,NA,NA,NA,0.0034,0.0678,0.2208,0.0068,0.0325,8e-04,0.1019,NA,NA,4e-04,NA,NA,0.0348,NA,0.0084,0.0421,0.0871,NA,NA,NA,NA,NA,NA,NA,0.3339,NA,NA,0.0158,NA
17,"12-030","U/N Reef (12-030)",143.57,-12,0.071,NA,NA,NA,0.0034,0.0682,0.216,0.0073,0.0327,8e-04,0.1081,NA,NA,4e-04,NA,NA,0.0373,NA,0.0079,0.0449,0.0874,NA,NA,NA,NA,NA,NA,NA,0.3025,NA,NA,0.0148,NA
18,"12-030","U/N Reef (12-030)",143.58,-12,0.0761,NA,NA,NA,0.0034,0.0684,0.2106,0.0077,0.0329,8e-04,0.1147,NA,NA,4e-04,NA,NA,0.0398,NA,0.0074,0.0478,0.0877,NA,NA,NA,NA,NA,NA,NA,0.2725,NA,NA,0.0138,NA
19,"12-030","U/N Reef (12-030)",143.59,-12,0.0815,NA,NA,NA,0.0034,0.0687,0.2047,0.0082,0.033,7e-04,0.1214,NA,NA,4e-04,NA,NA,0.0424,NA,0.0069,0.0508,0.0878,NA,NA,NA,NA,NA,NA,NA,0.2443,NA,NA,0.0128,NA
20,"12-030","U/N Reef (12-030)",143.6,-12,0.0873,NA,NA,NA,0.0034,0.0689,0.1983,0.0087,0.0331,7e-04,0.1282,NA,NA,3e-04,NA,NA,0.045,NA,0.0065,0.0536,0.0878,NA,NA,NA,NA,NA,NA,NA,0.2184,NA,NA,0.0119,NA
21,"12-030","U/N Reef (12-030)",143.61,-12,0.0935,NA,NA,NA,0.0034,0.0691,0.1913,0.0092,0.0332,6e-04,0.1351,NA,NA,3e-04,NA,NA,0.0475,NA,0.0061,0.0565,0.0877,NA,NA,NA,NA,NA,NA,NA,0.1948,NA,NA,0.011,NA
22,"12-030","U/N Reef (12-030)",143.62,-12,0.1002,NA,NA,NA,0.0034,0.0692,0.1837,0.0096,0.0332,6e-04,0.142,NA,NA,3e-04,NA,NA,0.05,NA,0.0057,0.0592,0.0875,NA,NA,NA,NA,NA,NA,NA,0.1736,NA,NA,0.0102,NA
23,"12-030","U/N Reef (12-030)",143.63,-12,0.1072,NA,NA,NA,0.0034,0.0692,0.1757,0.0101,0.0332,6e-04,0.1489,NA,NA,3e-04,NA,NA,0.0525,NA,0.0054,0.0618,0.0872,NA,NA,NA,NA,NA,NA,NA,0.1549,NA,NA,0.0095,NA
24,"12-030","U/N Reef (12-030)",143.64,-12,0.1145,NA,NA,NA,0.0034,0.0692,0.1672,0.0105,0.0331,5e-04,0.1557,NA,NA,3e-04,NA,NA,0.0549,NA,0.0051,0.0644,0.0868,NA,NA,NA,NA,NA,NA,NA,0.1384,NA,NA,0.0088,NA
25,"12-030","U/N Reef (12-030)",143.65,-12,0.1216,NA,NA,NA,0.0035,0.0692,0.1583,0.0109,0.033,5e-04,0.1624,NA,NA,3e-04,NA,NA,0.0572,NA,0.0048,0.0667,0.0864,NA,NA,NA,NA,NA,NA,NA,0.1243,NA,NA,0.0082,NA
26,"12-030","U/N Reef (12-030)",143.66,-12,0.1282,NA,NA,NA,0.0035,0.0691,0.1491,0.0113,0.0329,5e-04,0.1689,NA,NA,3e-04,NA,NA,0.0595,NA,0.0046,0.069,0.0858,NA,NA,NA,NA,NA,NA,NA,0.1125,NA,NA,0.0077,NA
27,"12-030","U/N Reef (12-030)",143.67,-12,0.1336,NA,NA,NA,0.0035,0.069,0.1397,0.0117,0.0328,5e-04,0.1753,NA,NA,3e-04,NA,NA,0.0616,NA,0.0045,0.0711,0.0853,NA,NA,NA,NA,NA,NA,NA,0.103,NA,NA,0.0073,NA
